Entry,Status,Protein names,Interacts with,Organism,Mass,EC number
P32243,reviewed,Homeobox protein OTX2 (Orthodenticle homolog 2),Q96FT7; Q96LB4-4; P54253; Q9UQB9; Q8NHY0; Q12982; Q00526; Q14204; Q9Y5Y3; Q9UMX6; Q53FT3; P35680; Q9NSC5; Q9H2F3; P46940; Q9UK76; P57682; Q8TC57; Q9GZZ1; Q8NH93; Q96RD1; Q13153; Q8WUT1; A0AV96; Q8TAA1; P62854; O00442-2; P09012; Q5QJ74; Q96A09; P17152; O14787-2; Q6PF06; Q96K80; Q7L2R6-2; O43257,Homo sapiens (Human),"31,636",
O14753,reviewed,Putative transcription factor Ovo-like 1 (hOvo1),Q86YD7; Q03252,Homo sapiens (Human),"30,259",
Q9BRP0,reviewed,Transcription factor Ovo-like 2 (hOvo2) (Zinc finger protein 339),Q8TF50,Homo sapiens (Human),"30,438",
O00110,reviewed,Putative transcription factor ovo-like protein 3,,Homo sapiens (Human),"23,826",
O95747,reviewed,Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein),Q9Y376; Itself; Q8NC24; P55011; Q9H4A3; Q96J92,Homo sapiens (Human),"58,022",2.7.11.1
P01178,reviewed,Oxytocin-neurophysin 1 (OT-NPI) [Cleaved into: Oxytocin (Ocytocin); Neurophysin 1],Q9UHG0,Homo sapiens (Human),"12,722",
P30559,reviewed,Oxytocin receptor (OT-R),,Homo sapiens (Human),"42,772",
Q9UQ80,reviewed,Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1),P19338; P06400; Q96ST3,Homo sapiens (Human),"43,787",
Q9ULC6,reviewed,Protein-arginine deiminase type-1 (EC 3.5.3.15) (Peptidylarginine deiminase I) (Protein-arginine deiminase type I),,Homo sapiens (Human),"74,666",3.5.3.15
Q9Y2J8,reviewed,Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II),,Homo sapiens (Human),"75,564",3.5.3.15
Q9ULW8,reviewed,Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III),P24539; O14645; Q0VD86; O14901; P27361; Q9BVL2; Itself; Q04864-2,Homo sapiens (Human),"74,743",3.5.3.15
Q9UM07,reviewed,Protein-arginine deiminase type-4 (EC 3.5.3.15) (HL-60 PAD) (Peptidylarginine deiminase IV) (Protein-arginine deiminase type IV),Q6LES2; P78424; Q96RU7,Homo sapiens (Human),"74,079",3.5.3.15
Q6TGC4,reviewed,Protein-arginine deiminase type-6 (EC 3.5.3.15) (Peptidyl arginine deiminase-like protein) (Peptidylarginine deiminase VI) (hPADVI) (Protein-arginine deiminase type VI),Q96D03; O95198; O43463; Q8TF50,Homo sapiens (Human),"77,727",3.5.3.15
P09466,reviewed,Glycodelin (GD) (Placental protein 14) (PP14) (Pregnancy-associated endometrial alpha-2 globulin) (PAEG) (PEG) (Progestagen-associated endometrial protein) (Progesterone-associated endometrial protein) (Zona-binding inhibitory factor-1) (ZIF-1),Q13520; O43315; Q3SXY8; P60508; Q5T7V8; O15529; Q8TED1; Q96HH9; P31937; Q8IU57; Q9Y5G9; Q9Y320,Homo sapiens (Human),"20,624",
P43034,reviewed,Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha),Q9NRI5; P07900; Q9GZM8; Q8WVJ2; Q8IVD9; Q9CZA6,Homo sapiens (Human),"46,638",
P00439,reviewed,Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase),,Homo sapiens (Human),"51,862",1.14.16.1
P22234,reviewed,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)],Q16543; P51116; Q969R5; Q8TBB1; Q6ZVK8; Itself; O75928-2; C9JJ79; Q9Y4B4; P78317; Q7KZS0; Q9UBW7,Homo sapiens (Human),"47,079",4.1.1.21; 6.3.2.6
Q13153,reviewed,Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK),P11117; P35611; Q15052; Q14155; Q9H0W9-3; P60953; P21127; Q8N1N5; P63167; Q6NZ36-4; Q9Y2X7; Q14161; Q13322-4; Q14145; Q9Y2M5; Q14847-2; P53667; Q15759; O43639; Q9Y239; P32243-2; Q15365; Q8N490-3; P63000; P63000-1; Q8WZ73-3; Q9H4E5; Q92963; Q9NTN9-3; Q96BD6; O75558; O60506-4; O15273; Q8TDR4; Q9BXU0; O60830; Q96A04; Q9H892-2; Q96EF9; Q8N0Y2-2; P60766; P63001; Q5PP90; Itself; Q15365; Q7L0Q8,Homo sapiens (Human),"60,647",2.7.11.1
Q13177,reviewed,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)],Q9NYB9-2; Q15052; Q14155; P55210; P60953; P62993; P08631; P42858; P53667; P16333; O43639; Itself; P63000; P04049; Q9H4E5; Q8TEJ3; Q9BX66; O94875; O60504; P12931; O55043; Q5PP90,Homo sapiens (Human),"58,043",2.7.11.1
O75914,reviewed,Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3),P60953-2; Q9H4E5,Homo sapiens (Human),"62,310",2.7.11.1
O96013,reviewed,Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4),P60953; Q96EL1; P54274; O00401; P63104; P05067; P37840,Homo sapiens (Human),"64,072",2.7.11.1
Q9P286,reviewed,Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7),Q8IW93; Q9H6L4; Q8N5M1; Q9H257; Q9H257-2; Q8NEC5; Q2TAC2-2; P51959; P60953; Q96SW2; P48730; P26196; P50402; Q9H0I2; Q9Y3B2; Q96CN9; A0A024R8L2; P42858; Q96EL1; Q96BZ8; Q8TBB1; P07196; Q96HA8; P16284; Q8WWY3; Q92530; Q16825; Q9H4E5; O60504; Q9BZW7; Q9UBK9; O76024,Homo sapiens (Human),"80,745",2.7.11.1
Q9NQU5,reviewed,Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6),P60953; O75031; Q5S007; Q9H4E5; Q96L33,Homo sapiens (Human),"74,869",2.7.11.1
Q96RD7,reviewed,Pannexin-1,P02652; Q9BQE5; P41181; Q92843; Q9BXR6; Q96IV6; P37268; Q9NVC3; Q8NBD8; P01375; O95183; Q14508; Itself,Homo sapiens (Human),"48,050",
Q96RD6,reviewed,Pannexin-2,,Homo sapiens (Human),"74,447",
Q96QZ0,reviewed,Pannexin-3,,Homo sapiens (Human),"44,683",
P51003,reviewed,Poly(A) polymerase alpha (PAP-alpha) (EC 2.7.7.19) (Polynucleotide adenylyltransferase alpha),,Homo sapiens (Human),"82,843",2.7.7.19
O43252,reviewed,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],,Homo sapiens (Human),"70,833",2.7.7.4; 2.7.1.25
Q9NXK6,reviewed,Membrane progestin receptor gamma (mPR gamma) (Membrane progesterone P4 receptor gamma) (Membrane progesterone receptor gamma) (Progesterone and adipoQ receptor family member 5) (Progestin and adipoQ receptor family member 5) (Progestin and adipoQ receptor family member V),Q9Y282; Q8TED1; Q9P2J2-2; P26951; O95470; Q8N205,Homo sapiens (Human),"38,014",
Q86W56,reviewed,Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143),,Homo sapiens (Human),"111,110",3.2.1.143
Q99497,reviewed,Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124),P01023; P63010-2; P05067; P10275; Q8NFJ9; Q8N5S9-2; Q9UER7; P50570-2; Q13158; P06241-3; Q9HD26; P42858; Q6DN90-2; Q9BYQ4; Q9BYZ2; O94776; Q8NFH3; Q96FW1; Q6GQQ9; Itself; P32322; P63244; Q6ZNA4-2; Q9ULX5; Q8IUW3; O14656-2; Q9UBQ0-2; Q9GZS3,Homo sapiens (Human),"19,891",3.1.2.-; 3.5.1.-; 3.5.1.124
P09874,reviewed,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-),Q8IW19; Q7Z2E3; P42574; P49715; Q86WJ1-1; P26358; Q01094; P11308; P09429; Q13007; Q9Y530; Itself; Q8N2W9; P46063; Q9NTX7; Q14684-1; O95863; P63165; P04637; P0CG48; Q14191; P18887; P54577; Q2M1K9; Q02085,Homo sapiens (Human),"113,084",2.4.2.30; 2.4.2.-
Q460N3,reviewed,Protein mono-ADP-ribosyltransferase PARP15 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 7) (ARTD7) (B-aggressive lymphoma protein 3) (Poly [ADP-ribose] polymerase 15) (PARP-15),Q8IXM6,Homo sapiens (Human),"74,576",2.4.2.-
Q9UGN5,reviewed,Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-),Q00688; Q99469,Homo sapiens (Human),"66,206",2.4.2.30; 2.4.2.-
Q9Y6F1,reviewed,Protein mono-ADP-ribosyltransferase PARP3 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (DNA ADP-ribosyltransferase PARP3) (EC 2.4.2.-) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly [ADP-ribose] polymerase 3) (PARP-3) (hPARP-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3),Q6FHY5,Homo sapiens (Human),"60,089",2.4.2.-
Q7L3T8,reviewed,"Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)",,Homo sapiens (Human),"53,263",6.1.1.15
Q96RG2,reviewed,PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1),P16220; P02545; Q93100; P62753; P07293; P02542; Q28115; P02646; P20152,Homo sapiens (Human),"142,929",2.7.11.1
Q9HBE1,reviewed,"POZ-, AT hook-, and zinc finger-containing protein 1 (BTB/POZ domain zinc finger transcription factor) (Protein kinase A RI subunit alpha-associated protein) (Zinc finger and BTB domain-containing protein 19) (Zinc finger protein 278) (Zinc finger sarcoma gene protein)",Q8NFV4-4; Q9ULX6; Q9NXR5-2; P54252; Q8N9W6-4; Q9NP55; Q9H5F2; Q5BKX5-3; Q96HB5; Q8TAP6; Q8N684-3; A8MQ03; Q15038; G5E9A7; Q92997; O00167-2; Q92567-2; A1KXE4-2; A6NEM1; O95872; P52597; P31943; Q16082; O43464; P42858; Q8NA54; Q8WXH2; O60333-2; Q13351; Q96G42; Q14525; P59991; Q52LG2; Q3LI76; Q8IUB9; Q3LI72; Q3LI70; Q3SYF9; Q9BYR8; Q9BYR6; Q3LI64; Q3LI66; P02545; P25791-3; Q17RB8; Q8IV03; Q9BRK4; Q99750; P35548; Q8NI38; P0CG21; O43482; Q99471; O43189; Q96T49; O75864; Q9GZV8; Q9NQX0; O60260-5; P41219; P60891; P86480; P98175; Q93062-3; Q6ZRY4; Q8HWS3; Q0D2K3; Q8ND83; Q53HV7-2; Q8NB12; Q99932-2; Q13148; Q08117-2; Q63HR2; Q13077; Q12933; Q15654; Q86WV8; O76024; Q9NZC7-5; O00308; A0A0C4DGF1; Q15915; Q9NZV7; G4XUV3,Homo sapiens (Human),"74,060",
Q96IZ0,reviewed,PRKC apoptosis WT1 regulator protein (Prostate apoptosis response 4 protein) (Par-4),Q01094; P11021; Q96BD6; P08670; Q9D5L7; O88838; Q8R5B6,Homo sapiens (Human),"36,568",
P15863,reviewed,Paired box protein Pax-1 (HuP48),,Homo sapiens (Human),"55,499",
Q02962,reviewed,Paired box protein Pax-2,O60663-2,Homo sapiens (Human),"44,706",
P23760,reviewed,Paired box protein Pax-3 (HuP2),P20265; P56693; O94829; Q3LI66; Q8IUC2,Homo sapiens (Human),"52,968",
O43316,reviewed,Paired box protein Pax-4,,Homo sapiens (Human),"37,833",
Q02548,reviewed,Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP),Q8WYK0; O75934; Q9NX04; P24863; Q00526; Q96Q77; P61024; P68400; Q8TB03; Q86UW9; P23142-4; Q9P2W3; Q6ISB3; O14964; Q6NT76; O15347; P31273; Q2WGJ6; Q03164; P60410; Q9BYQ3; Q6P4E2; Q5SW96; Q17RB8; P45984; Q969S2; Q13952-2; Q96IV0; Q9UJX0; Q96PV4; P43351; Q9UBE0; Q9UDX3; Q99469; Q86UE8; Q7KZS0; Q14CS0; O94888; Q9UJ78-2,Homo sapiens (Human),"42,149",
P26367,reviewed,Paired box protein Pax-6 (Aniridia type II protein) (Oculorhombin),Q8WYK0; Q9BXS5; O95376; Q8N8Y2; Q8NEY4-2; Q8N9N5-2; Q5TBC7; Q9NX04; Q53TS8; Q8IW40; Q16204; Q9Y258; Q00526; Q9UFW8; Q13111; Q96Q77; Q9BW66; P61024; P68400; Q9UI47-2; Q8TB03; P49366; Q96JC9; Q5JVL4; Q8N9N8; P62508-3; Q9Y247; Q8NHY3; O75603; O14893; O95872; Q6ISB3; O14964; Q6NT76; O15347; P07910; Q9NSC5; P49639; P31273; P31274; Q63ZY3; Q96MP8-2; Q9BYQ3; Q9BYQ0; Q6P4E2; Q9C0E8-2; Q17RB8; Q9BS40; Q96S90; Q15691; P55081; Q8TD10; Q8IVT2; Q6PF18; Q96EL3; Q9UBB6; Q8NI38; Q13952-2; Q96IV0; Q08493-2; Q9NRD5; Q13526; Q9BUI4; Q9BT43; Q8WUA2; P54619; Q9UIG4; Q2TAL8; Q9UBE0; Q9UDX3; Q01105-2; O43699-3; A0AV02; Q5MJ68; Q9NZD8; Q05519-2; Q99469; Q9NUJ3; Q96FV9; Q9UKI8; Q86UE8; O75865-2; Q15642-2; Q969M7; P61086; Q14CS0; O94888; Q8N6Y0; Q3SXR9; Q9Y3C0; O96006; Q15973; Q86VK4-3; A0A384ME25; P63168; P63166,Homo sapiens (Human),"46,683",
P23759,reviewed,Paired box protein Pax-7 (HuP1),P46937; Q9NX04; Q99828; Q8WUE5; Q9NSC5; Q3SYF9; Q96A72,Homo sapiens (Human),"55,119",
Q06710,reviewed,Paired box protein Pax-8,Q00526; Q8TEW6; O75603; P31273; P31274; Q17RB8; P19338; Q9UBE0; Q9NRX5; O75177-5; Q08117-2,Homo sapiens (Human),"48,218",
P55771,reviewed,Paired box protein Pax-9,O00167-2; O43474; Q3SY46; P25791-3; Q8WY64; Q99471; Q9UPG8; P31947; Q8ND83; Q96N21; Q08117-2; Q15645; A5D8V6; Q9NZC7-5; Q6P1L6,Homo sapiens (Human),"36,310",
Q9Y5B6,reviewed,PAX3- and PAX7-binding protein 1 (GC-rich sequence DNA-binding factor 1),,Homo sapiens (Human),"104,804",
Q96KB5,reviewed,Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase),P10398; Q96D03; Q96EZ8; P04637; Q8TF50,Homo sapiens (Human),"36,085",2.7.12.2
Q86U86,reviewed,Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D),Q68CP9; O95696-1; O95696-2; Q9P2D1; P51532; P04608,Homo sapiens (Human),"192,948",
P40424,reviewed,Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1) (Homeobox protein PRL),Q5PSV4; Q96GN5; Q5JVL4; Q86YD7; Q12948; P09067; Q00444; P31273; O00470; O14770-4; Q13526; P55347; P31314,Homo sapiens (Human),"46,626",
P40425,reviewed,Pre-B-cell leukemia transcription factor 2 (Homeobox protein PBX2) (Protein G17),Q13515; Q8TDH9; Q5PSV4; Q9H257; Q96GN5; Q5JVL4; Q86YD7; P49639; P20719; P09067; Q00444; P31273; P31274; O60682; Q86W92; Q5TAB7; P31314; Q504Y3; Q96SQ5,Homo sapiens (Human),"45,881",
P40426,reviewed,Pre-B-cell leukemia transcription factor 3 (Homeobox protein PBX3),,Homo sapiens (Human),"47,190",
Q9BYU1,reviewed,Pre-B-cell leukemia transcription factor 4 (Homeobox protein PBX4),Q9NR81; P41182; Q13515; Q9NWQ9; Q9NX04; Q9NUG4; P42773; Q9Y6H1; P51800-3; Q9UBL6-2; Q01658; Q8N9N8; O00303; Q8IYI6; P35637; Q8TAE8; P55040; Q9BRT9; O95872; Q00403; Q9Y5Q9; P14652; P09067; Q00444; P31273; P09016; C9JCN9; P42858; Q8IY31-3; O94829; O60341; Q2WGJ6; P25791-3; Q96A72; P45984; O95983-2; O14770-4; Q8TD10; O43639; Q9HC98-4; P61970; Q9UNF0; Q9NRD5; Q8WWB5; Q92569; P55347; Q96KN3; O60437; P62877; Q0D2K3; Q5TAB7; Q9BWG6; Q9UHV2; Q96GM5; P00441; Q5MJ10; Q5MJ09; Q9NZD8; Q13148; Q9UBB9; Q8WV44; Q8WW01; Q96PN8; O14530; P0CB47; Q8N6Y0; A0A024R8A9; Q9NZC7-5; Q9Y3S2; A0A384ME25,Homo sapiens (Human),"40,854",
Q96AQ6,reviewed,Pre-B-cell leukemia transcription factor-interacting protein 1 (Hematopoietic PBX-interacting protein),P49069; P24863; Q9UER7; Q9H4E7; Q53SE7; Q9H0R8; Q96IK5; P60371; O95447; Q99750; Q9UBU8; Q9UBU8-2; Q8NI37; O43765; Q9UMX0-2; Q9Y3C0; P03372; P03372-1,Homo sapiens (Human),"80,643",
P61457,reviewed,Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD),Q9UKV3; P05067; P51116; Q9H8Y8; P20823; P35680; Q63ZY3; Q8TBB1; Q96HA8; Itself; Q9NRD5; P25786; O00560; Q07654; A0A0S2Z5X4,Homo sapiens (Human),"12,000",4.2.1.96
Q9H0N5,reviewed,Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase 2) (DcoH-like protein DCoHm) (Dimerization cofactor of hepatocyte nuclear factor 1 from muscle) (HNF-1-alpha dimerization cofactor),O75934; Q8IU89; Q9Y463; Q96NT3-2; Q6P597-3; Q8TCE9; P43364; P43364-2; P43360; Q9Y605; Q9NZD8,Homo sapiens (Human),"14,365",4.2.1.96
Q9BSM1,reviewed,Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68),Q6W2J9; O95931; Q9HC52; A0A0C3SFZ9; Q06587; Q99496; Q6W2J9-1; Q5H9F3-1,Homo sapiens (Human),"30,346",
P35227,reviewed,Polycomb group RING finger protein 2 (DNA-binding protein Mel-18) (RING finger protein 110) (Zinc finger protein 144),O95503; O95931; Q9HC52; Q9HCE1; Q9HAT8; P78364; Q8IXK0; Q06587; Q99496; P32856-2; Q12933; P0CG48; P51784; Q93009,Homo sapiens (Human),"37,788",
Q3KNV8,reviewed,Polycomb group RING finger protein 3 (RING finger protein 3A),Q6W2J9-4; O95503; O95931; Q9HC52; Q8IXK0; Q06587; Q99496; P78364; Q06587; Q99496,Homo sapiens (Human),"28,115",
Q86SE9,reviewed,Polycomb group RING finger protein 5 (RING finger protein 159),Q8WXX7; Q6W2J9-4; Q9HC52; Q8IXK0; Q96LA8; Q06587; Q99496; Q12933; Q2GHU2; P28799,Homo sapiens (Human),"29,714",
Q9BYE7,reviewed,Polycomb group RING finger protein 6 (Mel18 and Bmi1-like RING finger) (RING finger protein 134),O00257-3; O95931; Q9HC52; Q06587; Q99496,Homo sapiens (Human),"39,047",
P35558,reviewed,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)",,Homo sapiens (Human),"69,195",4.1.1.32; 2.7.11.-
Q16822,reviewed,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)",P84022,Homo sapiens (Human),"70,699",4.1.1.32
P12004,reviewed,Proliferating cell nuclear antigen (PCNA) (Cyclin),P04075; P03950; P07355; P61769; P38936; P42771; Q9H211; Q13111; Q96DZ9-2; P68104; P06733; P39748; P04406; Q14527; Q9H160; Q9H063; P20585; O95944; P61970; Q15004; Itself; P18669; P00558; P28340; P49005; Q15054; Q9HCU8; P30041; Q9UBF6; Q86TU7; Q8IWU4; Q9NZD8; A2RU14; P60174; Q5FWF4; Q8TE30; Q9Z111; Q1K9H5; B4URF7,Homo sapiens (Human),"28,769",
Q8NBP7,reviewed,Proprotein convertase subtilisin/kexin type 9 (EC 3.4.21.-) (Neural apoptosis-regulated convertase 1) (NARC-1) (Proprotein convertase 9) (PC9) (Subtilisin/kexin-like protease PC9),P07355; P01130; P08253; P01130,Homo sapiens (Human),"74,286",3.4.21.-
P49585,reviewed,Choline-phosphate cytidylyltransferase A (EC 2.7.7.15) (CCT-alpha) (CTP:phosphocholine cytidylyltransferase A) (CCT A) (CT A) (Phosphorylcholine transferase A),Q6RW13-2; Q9Y680; P13807; P43357; Q9H8S9; Q70IA8; Itself; Q9Y5K3-3; O76064; O15126; O00560; O95295; Q9UBN6; Q8N0U8,Homo sapiens (Human),"41,731",2.7.7.15
Q53EL6,reviewed,Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a),P02649; P60842; Q14240; Q14240-2; P38919; P49810; Q04206; P62277,Homo sapiens (Human),"51,735",
O75340,reviewed,Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2),P50995; Q5T0G8; O95429; P53355; Q13561; Q9Y5Z4; P35968; Itself; Q8WUM4; Q9UBV8; Q9NRY6; A6NJB7-2; Q9H3S7; O94979; A5D8V6,Homo sapiens (Human),"21,868",
Q9Y233,reviewed,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)",,Homo sapiens (Human),"88,412",3.1.4.17
Q9HCR9,reviewed,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A (EC 3.1.4.35) (EC 3.1.4.53) (cAMP and cGMP phosphodiesterase 11A)",,Homo sapiens (Human),"104,752",3.1.4.35; 3.1.4.53
P54750,reviewed,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A (Cam-PDE 1A) (EC 3.1.4.17) (61 kDa Cam-PDE) (hCam-1)",P42858,Homo sapiens (Human),"61,252",3.1.4.17
Q01064,reviewed,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)",Q9NUX5,Homo sapiens (Human),"61,380",3.1.4.17
Q14123,reviewed,"Dual specificity Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (EC 3.1.4.17) (Hcam3)",,Homo sapiens (Human),"80,760",3.1.4.17
O00408,reviewed,"cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)",O00170; Itself,Homo sapiens (Human),"105,717",3.1.4.17
Q14432,reviewed,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A (EC 3.1.4.17) (Cyclic GMP-inhibited phosphodiesterase A) (CGI-PDE A) (cGMP-inhibited cAMP phosphodiesterase) (cGI-PDE)",Q9Y6D6; Q9Y6D5,Homo sapiens (Human),"124,979",3.1.4.17
Q13370,reviewed,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B (EC 3.1.4.17) (CGIPDE1) (CGIP1) (Cyclic GMP-inhibited phosphodiesterase B) (CGI-PDE B)",O60760; Q8TBB1; P48736; Q5UE93; O95398,Homo sapiens (Human),"124,333",3.1.4.17
P27815,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46)",P55212; O14569; P13473-2; Q9UJX0; P16118; O75400-2; Q9Y371,Homo sapiens (Human),"98,143",3.1.4.53
Q07343,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B (EC 3.1.4.53) (DPDE4) (PDE32)",,Homo sapiens (Human),"83,343",3.1.4.53
Q08493,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C (EC 3.1.4.53) (DPDE1) (PDE21)",Q96D03; O15499; P26718; P50221; Q6FHY5; Q9UJX0; P26367; P30626; P59817; P30626,Homo sapiens (Human),"79,902",3.1.4.53
Q08499,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)",P32121; P38432; Q0D2H9; Q08AF8; P43360; Q13077; P32121; P26769; P38432; Q96CV9; Q8IUH5,Homo sapiens (Human),"91,115",3.1.4.53
O76074,reviewed,"cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)",Q13976; Q9NZD8,Homo sapiens (Human),"99,985",3.1.4.35
P16499,reviewed,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha (GMP-PDE alpha) (EC 3.1.4.35) (PDE V-B1)",,Homo sapiens (Human),"99,547",3.1.4.35
P35913,reviewed,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta (GMP-PDE beta) (EC 3.1.4.35)",,Homo sapiens (Human),"98,336",3.1.4.35
P51160,reviewed,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)",,Homo sapiens (Human),"99,147",3.1.4.35
